processes,Mean_Time(s),Std_Dev(s),Speedup,Efficiency(%)
1,0.3677492,0.002983589063527338,1.0,100.0
2,0.206338,0.0021108928205856386,1.7822659907530363,89.11329953765181
4,0.1208718,0.0007255306333987543,3.0424730995980864,76.06182748995217
8,0.07673579999999999,0.0005461430215612033,4.792407194555866,59.90508993194833
