run,processes,time_seconds
1,1,49.631789
2,1,49.545189
3,1,49.609270
4,1,49.587441
5,1,49.689503
1,2,24.342161
2,2,24.132741
3,2,24.388183
4,2,24.177859
5,2,24.326786
1,4,11.879486
2,4,11.834843
3,4,11.924507
4,4,11.941807
5,4,11.924410
1,8,4.524182
2,8,4.528390
3,8,4.542500
4,8,4.549386
5,8,4.534786
